,Rank,Name,Platform,Year,Genre,Publisher,Overview
0,1,Wii Sports,Wii,2006,Sports,Nintendo,2006 Sports by Nintendo rank 1
1,2,Super Mario Bros.,NES,1985,Platform,Nintendo,1985 Platform by Nintendo rank 2
2,3,Mario Kart Wii,Wii,2008,Racing,Nintendo,2008 Racing by Nintendo rank 3
3,4,Wii Sports Resort,Wii,2009,Sports,Nintendo,2009 Sports by Nintendo rank 4
4,5,Pokemon Red/Pokemon Blue,GB,1996,Role-Playing,Nintendo,1996 Role-Playing by Nintendo rank 5
5,6,Tetris,GB,1989,Puzzle,Nintendo,1989 Puzzle by Nintendo rank 6
6,7,New Super Mario Bros.,DS,2006,Platform,Nintendo,2006 Platform by Nintendo rank 7
7,8,Wii Play,Wii,2006,Misc,Nintendo,2006 Misc by Nintendo rank 8
8,9,New Super Mario Bros. Wii,Wii,2009,Platform,Nintendo,2009 Platform by Nintendo rank 9
9,10,Duck Hunt,NES,1984,Shooter,Nintendo,1984 Shooter by Nintendo rank 10
10,11,Nintendogs,DS,2005,Simulation,Nintendo,2005 Simulation by Nintendo rank 11
11,12,Mario Kart DS,DS,2005,Racing,Nintendo,2005 Racing by Nintendo rank 12
12,13,Pokemon Gold/Pokemon Silver,GB,1999,Role-Playing,Nintendo,1999 Role-Playing by Nintendo rank 13
13,14,Wii Fit,Wii,2007,Sports,Nintendo,2007 Sports by Nintendo rank 14
14,15,Wii Fit Plus,Wii,2009,Sports,Nintendo,2009 Sports by Nintendo rank 15
15,16,Kinect Adventures!,X360,2010,Misc,Microsoft Game Studios,2010 Misc by Microsoft Game Studios rank 16
16,17,Grand Theft Auto V,PS3,2013,Action,Take-Two Interactive,2013 Action by Take-Two Interactive rank 17
17,18,Grand Theft Auto: San Andreas,PS2,2004,Action,Take-Two Interactive,2004 Action by Take-Two Interactive rank 18
18,19,Super Mario World,SNES,1990,Platform,Nintendo,1990 Platform by Nintendo rank 19
19,20,Brain Age: Train Your Brain in Minutes a Day,DS,2005,Misc,Nintendo,2005 Misc by Nintendo rank 20
20,21,Pokemon Diamond/Pokemon Pearl,DS,2006,Role-Playing,Nintendo,2006 Role-Playing by Nintendo rank 21
21,22,Super Mario Land,GB,1989,Platform,Nintendo,1989 Platform by Nintendo rank 22
22,23,Super Mario Bros. 3,NES,1988,Platform,Nintendo,1988 Platform by Nintendo rank 23
23,24,Grand Theft Auto V,X360,2013,Action,Take-Two Interactive,2013 Action by Take-Two Interactive rank 24
24,25,Grand Theft Auto: Vice City,PS2,2002,Action,Take-Two Interactive,2002 Action by Take-Two Interactive rank 25
25,26,Pokemon Ruby/Pokemon Sapphire,GBA,2002,Role-Playing,Nintendo,2002 Role-Playing by Nintendo rank 26
26,27,Pokemon Black/Pokemon White,DS,2010,Role-Playing,Nintendo,2010 Role-Playing by Nintendo rank 27
27,28,Brain Age 2: More Training in Minutes a Day,DS,2005,Puzzle,Nintendo,2005 Puzzle by Nintendo rank 28
28,29,Gran Turismo 3: A-Spec,PS2,2001,Racing,Sony Computer Entertainment,2001 Racing by Sony Computer Entertainment rank 29
29,30,Call of Duty: Modern Warfare 3,X360,2011,Shooter,Activision,2011 Shooter by Activision rank 30
30,31,Pokémon Yellow: Special Pikachu Edition,GB,1998,Role-Playing,Nintendo,1998 Role-Playing by Nintendo rank 31
31,32,Call of Duty: Black Ops,X360,2010,Shooter,Activision,2010 Shooter by Activision rank 32
32,33,Pokemon X/Pokemon Y,3DS,2013,Role-Playing,Nintendo,2013 Role-Playing by Nintendo rank 33
33,34,Call of Duty: Black Ops 3,PS4,2015,Shooter,Activision,2015 Shooter by Activision rank 34
34,35,Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,2012 Shooter by Activision rank 35
35,36,Call of Duty: Black Ops II,X360,2012,Shooter,Activision,2012 Shooter by Activision rank 36
36,37,Call of Duty: Modern Warfare 2,X360,2009,Shooter,Activision,2009 Shooter by Activision rank 37
37,38,Call of Duty: Modern Warfare 3,PS3,2011,Shooter,Activision,2011 Shooter by Activision rank 38
38,39,Grand Theft Auto III,PS2,2001,Action,Take-Two Interactive,2001 Action by Take-Two Interactive rank 39
39,40,Super Smash Bros. Brawl,Wii,2008,Fighting,Nintendo,2008 Fighting by Nintendo rank 40
40,41,Call of Duty: Black Ops,PS3,2010,Shooter,Activision,2010 Shooter by Activision rank 41
41,42,Animal Crossing: Wild World,DS,2005,Simulation,Nintendo,2005 Simulation by Nintendo rank 42
42,43,Mario Kart 7,3DS,2011,Racing,Nintendo,2011 Racing by Nintendo rank 43
43,44,Halo 3,X360,2007,Shooter,Microsoft Game Studios,2007 Shooter by Microsoft Game Studios rank 44
44,45,Grand Theft Auto V,PS4,2014,Action,Take-Two Interactive,2014 Action by Take-Two Interactive rank 45
45,46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009,Action,Nintendo,2009 Action by Nintendo rank 46
46,47,Super Mario 64,N64,1996,Platform,Nintendo,1996 Platform by Nintendo rank 47
47,48,Gran Turismo 4,PS2,2004,Racing,Sony Computer Entertainment,2004 Racing by Sony Computer Entertainment rank 48
48,49,Super Mario Galaxy,Wii,2007,Platform,Nintendo,2007 Platform by Nintendo rank 49
49,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014,Role-Playing,Nintendo,2014 Role-Playing by Nintendo rank 50
50,51,Super Mario Land 2: 6 Golden Coins,GB,1992,Adventure,Nintendo,1992 Adventure by Nintendo rank 51
51,52,Grand Theft Auto IV,X360,2008,Action,Take-Two Interactive,2008 Action by Take-Two Interactive rank 52
52,53,Gran Turismo,PS,1997,Racing,Sony Computer Entertainment,1997 Racing by Sony Computer Entertainment rank 53
53,54,Super Mario 3D Land,3DS,2011,Platform,Nintendo,2011 Platform by Nintendo rank 54
54,55,Gran Turismo 5,PS3,2010,Racing,Sony Computer Entertainment,2010 Racing by Sony Computer Entertainment rank 55
55,56,Call of Duty: Modern Warfare 2,PS3,2009,Shooter,Activision,2009 Shooter by Activision rank 56
56,57,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,2008 Action by Take-Two Interactive rank 57
57,58,Super Mario All-Stars,SNES,1993,Platform,Nintendo,1993 Platform by Nintendo rank 58
58,59,Pokemon FireRed/Pokemon LeafGreen,GBA,2004,Role-Playing,Nintendo,2004 Role-Playing by Nintendo rank 59
59,60,Super Mario 64,DS,2004,Platform,Nintendo,2004 Platform by Nintendo rank 60
60,61,Just Dance 3,Wii,2011,Misc,Ubisoft,2011 Misc by Ubisoft rank 61
61,62,Call of Duty: Ghosts,X360,2013,Shooter,Activision,2013 Shooter by Activision rank 62
62,63,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,2010 Shooter by Microsoft Game Studios rank 63
63,64,Mario Kart 64,N64,1996,Racing,Nintendo,1996 Racing by Nintendo rank 64
64,65,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,2012 Platform by Nintendo rank 65
65,66,Halo 4,X360,2012,Shooter,Microsoft Game Studios,2012 Shooter by Microsoft Game Studios rank 66
66,67,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,1997 Role-Playing by Sony Computer Entertainment rank 67
67,68,Call of Duty: Ghosts,PS3,2013,Shooter,Activision,2013 Shooter by Activision rank 68
68,69,Just Dance 2,Wii,2010,Misc,Ubisoft,2010 Misc by Ubisoft rank 69
69,70,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,1999 Racing by Sony Computer Entertainment rank 70
70,71,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,2007 Shooter by Activision rank 71
71,72,Donkey Kong Country,SNES,1994,Platform,Nintendo,1994 Platform by Nintendo rank 72
72,73,Minecraft,X360,2013,Misc,Microsoft Game Studios,2013 Misc by Microsoft Game Studios rank 73
73,74,Animal Crossing: New Leaf,3DS,2012,Simulation,Nintendo,2012 Simulation by Nintendo rank 74
74,75,Mario Party DS,DS,2007,Misc,Nintendo,2007 Misc by Nintendo rank 75
75,76,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,2011 Role-Playing by Bethesda Softworks rank 76
76,77,Super Mario Kart,SNES,1992,Racing,Nintendo,1992 Racing by Nintendo rank 77
77,78,FIFA 16,PS4,2015,Sports,Electronic Arts,2015 Sports by Electronic Arts rank 78
78,79,Wii Party,Wii,2010,Misc,Nintendo,2010 Misc by Nintendo rank 79
79,80,Halo 2,XB,2004,Shooter,Microsoft Game Studios,2004 Shooter by Microsoft Game Studios rank 80
80,81,Mario Party 8,Wii,2007,Misc,Nintendo,2007 Misc by Nintendo rank 81
81,82,Pokemon Black 2/Pokemon White 2,DS,2012,Role-Playing,Nintendo,2012 Role-Playing by Nintendo rank 82
82,83,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,2012 Action by Electronic Arts rank 83
83,84,The Sims 3,PC,2009,Simulation,Electronic Arts,2009 Simulation by Electronic Arts rank 84
84,85,GoldenEye 007,N64,1997,Shooter,Nintendo,1997 Shooter by Nintendo rank 85
85,86,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2007 Sports by Sega rank 86
86,87,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2001 Role-Playing by Sony Computer Entertainment rank 87
87,88,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,1999 Role-Playing by SquareSoft rank 88
88,89,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2008 Role-Playing by Nintendo rank 89
89,90,Pac-Man,2600,1982,Puzzle,Atari,1982 Puzzle by Atari rank 90
90,91,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2005 Action by Take-Two Interactive rank 91
91,92,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,2010 Platform by Nintendo rank 92
92,93,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2015 Shooter by Electronic Arts rank 93
93,94,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2014 Shooter by Activision rank 94
94,95,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,1998 Action by Nintendo rank 95
95,96,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,1997 Platform by Sony Computer Entertainment rank 96
96,97,Super Mario Bros. 2,NES,1988,Platform,Nintendo,1988 Platform by Nintendo rank 97
97,98,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,2014 Fighting by Nintendo rank 98
98,99,Call of Duty: World at War,X360,2008,Shooter,Activision,2008 Shooter by Activision rank 99
99,100,Battlefield 3,X360,2011,Shooter,Electronic Arts,2011 Shooter by Electronic Arts rank 100
100,101,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,2006 Action by Nintendo rank 101
101,102,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,2015 Shooter by Activision rank 102
102,103,Just Dance,Wii,2009,Misc,Ubisoft,2009 Misc by Ubisoft rank 103
103,104,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2011 Shooter by Electronic Arts rank 104
104,105,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,2003 Racing by Electronic Arts rank 105
105,106,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,1998 Fighting by Sony Computer Entertainment rank 106
106,107,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,1998 Platform by Sony Computer Entertainment rank 107
107,108,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,2001 Fighting by Nintendo rank 108
108,109,Mario Kart 8,WiiU,2014,Racing,Nintendo,2014 Racing by Nintendo rank 109
109,110,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2015 Role-Playing by Bethesda Softworks rank 110
110,111,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,2003 Racing by Nintendo rank 111
111,112,Just Dance 4,Wii,2012,Misc,Ubisoft,2012 Misc by Ubisoft rank 112
112,113,FIFA 14,PS3,2013,Sports,Electronic Arts,2013 Sports by Electronic Arts rank 113
113,114,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2004 Racing by Electronic Arts rank 114
114,115,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2002 Shooter by Electronic Arts rank 115
115,116,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2011 Action by Sony Computer Entertainment rank 116
116,117,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,1996 Platform by Sony Computer Entertainment rank 117
117,118,Zumba Fitness,Wii,2010,Sports,505 Games,2010 Sports by 505 Games rank 118
118,119,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,2008 Shooter by Microsoft Game Studios rank 119
119,120,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,2009 Action by Sony Computer Entertainment rank 120
120,121,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,2007 Shooter by Activision rank 121
121,122,FIFA 12,PS3,2011,Sports,Electronic Arts,2011 Sports by Electronic Arts rank 122
122,123,Big Brain Academy,DS,2005,Misc,Nintendo,2005 Misc by Nintendo rank 123
123,124,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2010 Action by Take-Two Interactive rank 124
124,125,FIFA 15,PS4,2014,Sports,Electronic Arts,2014 Sports by Electronic Arts rank 125
125,126,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,2010 Platform by Nintendo rank 126
126,127,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2011 Role-Playing by Bethesda Softworks rank 127
127,128,The Legend of Zelda,NES,1986,Action,Nintendo,1986 Action by Nintendo rank 128
128,129,Assassin's Creed III,PS3,2012,Action,Ubisoft,2012 Action by Ubisoft rank 129
129,130,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,2001 Shooter by Microsoft Game Studios rank 130
130,131,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2004 Role-Playing by Nintendo rank 131
131,132,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,2002 Role-Playing by Sony Computer Entertainment rank 132
132,133,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2000 Role-Playing by Nintendo rank 133
133,134,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,2009 Shooter by Microsoft Game Studios rank 134
134,135,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,2010 Action by Take-Two Interactive rank 135
135,136,Super Mario Sunshine,GC,2002,Platform,Nintendo,2002 Platform by Nintendo rank 136
136,137,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,1992 Fighting by Capcom rank 137
137,138,World of Warcraft,PC,2004,Role-Playing,Activision,2004 Role-Playing by Activision rank 138
138,139,Driver,PS,1999,Action,GT Interactive,1999 Action by GT Interactive rank 139
139,140,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,2010 Sports by Microsoft Game Studios rank 140
140,141,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,2011 Shooter by Microsoft Game Studios rank 141
141,142,Gears of War,X360,2006,Shooter,Microsoft Game Studios,2006 Shooter by Microsoft Game Studios rank 142
142,143,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2001 Action by Konami Digital Entertainment rank 143
143,144,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,1992 Platform by Sega rank 144
