,Rank,Name,Overview
0,1,Wii Sports,2006 Sports by Nintendo rank 1
1,2,Super Mario Bros.,1985 Platform by Nintendo rank 2
2,3,Mario Kart Wii,2008 Racing by Nintendo rank 3
3,4,Wii Sports Resort,2009 Sports by Nintendo rank 4
4,5,Pokemon Red/Pokemon Blue,1996 Role-Playing by Nintendo rank 5
5,6,Tetris,1989 Puzzle by Nintendo rank 6
6,7,New Super Mario Bros.,2006 Platform by Nintendo rank 7
7,8,Wii Play,2006 Misc by Nintendo rank 8
8,9,New Super Mario Bros. Wii,2009 Platform by Nintendo rank 9
9,10,Duck Hunt,1984 Shooter by Nintendo rank 10
10,11,Nintendogs,2005 Simulation by Nintendo rank 11
11,12,Mario Kart DS,2005 Racing by Nintendo rank 12
12,13,Pokemon Gold/Pokemon Silver,1999 Role-Playing by Nintendo rank 13
13,14,Wii Fit,2007 Sports by Nintendo rank 14
14,15,Wii Fit Plus,2009 Sports by Nintendo rank 15
15,16,Kinect Adventures!,2010 Misc by Microsoft Game Studios rank 16
16,17,Grand Theft Auto V,2013 Action by Take-Two Interactive rank 17
17,18,Grand Theft Auto: San Andreas,2004 Action by Take-Two Interactive rank 18
18,19,Super Mario World,1990 Platform by Nintendo rank 19
19,20,Brain Age: Train Your Brain in Minutes a Day,2005 Misc by Nintendo rank 20
20,21,Pokemon Diamond/Pokemon Pearl,2006 Role-Playing by Nintendo rank 21
21,22,Super Mario Land,1989 Platform by Nintendo rank 22
22,23,Super Mario Bros. 3,1988 Platform by Nintendo rank 23
23,24,Grand Theft Auto V,2013 Action by Take-Two Interactive rank 24
24,25,Grand Theft Auto: Vice City,2002 Action by Take-Two Interactive rank 25
25,26,Pokemon Ruby/Pokemon Sapphire,2002 Role-Playing by Nintendo rank 26
26,27,Pokemon Black/Pokemon White,2010 Role-Playing by Nintendo rank 27
27,28,Brain Age 2: More Training in Minutes a Day,2005 Puzzle by Nintendo rank 28
28,29,Gran Turismo 3: A-Spec,2001 Racing by Sony Computer Entertainment rank 29
29,30,Call of Duty: Modern Warfare 3,2011 Shooter by Activision rank 30
30,31,Pokémon Yellow: Special Pikachu Edition,1998 Role-Playing by Nintendo rank 31
31,32,Call of Duty: Black Ops,2010 Shooter by Activision rank 32
32,33,Pokemon X/Pokemon Y,2013 Role-Playing by Nintendo rank 33
33,34,Call of Duty: Black Ops 3,2015 Shooter by Activision rank 34
34,35,Call of Duty: Black Ops II,2012 Shooter by Activision rank 35
35,36,Call of Duty: Black Ops II,2012 Shooter by Activision rank 36
36,37,Call of Duty: Modern Warfare 2,2009 Shooter by Activision rank 37
37,38,Call of Duty: Modern Warfare 3,2011 Shooter by Activision rank 38
38,39,Grand Theft Auto III,2001 Action by Take-Two Interactive rank 39
39,40,Super Smash Bros. Brawl,2008 Fighting by Nintendo rank 40
40,41,Call of Duty: Black Ops,2010 Shooter by Activision rank 41
41,42,Animal Crossing: Wild World,2005 Simulation by Nintendo rank 42
42,43,Mario Kart 7,2011 Racing by Nintendo rank 43
43,44,Halo 3,2007 Shooter by Microsoft Game Studios rank 44
44,45,Grand Theft Auto V,2014 Action by Take-Two Interactive rank 45
45,46,Pokemon HeartGold/Pokemon SoulSilver,2009 Action by Nintendo rank 46
46,47,Super Mario 64,1996 Platform by Nintendo rank 47
47,48,Gran Turismo 4,2004 Racing by Sony Computer Entertainment rank 48
48,49,Super Mario Galaxy,2007 Platform by Nintendo rank 49
49,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014 Role-Playing by Nintendo rank 50
50,51,Super Mario Land 2: 6 Golden Coins,1992 Adventure by Nintendo rank 51
51,52,Grand Theft Auto IV,2008 Action by Take-Two Interactive rank 52
52,53,Gran Turismo,1997 Racing by Sony Computer Entertainment rank 53
53,54,Super Mario 3D Land,2011 Platform by Nintendo rank 54
54,55,Gran Turismo 5,2010 Racing by Sony Computer Entertainment rank 55
55,56,Call of Duty: Modern Warfare 2,2009 Shooter by Activision rank 56
56,57,Grand Theft Auto IV,2008 Action by Take-Two Interactive rank 57
57,58,Super Mario All-Stars,1993 Platform by Nintendo rank 58
58,59,Pokemon FireRed/Pokemon LeafGreen,2004 Role-Playing by Nintendo rank 59
59,60,Super Mario 64,2004 Platform by Nintendo rank 60
60,61,Just Dance 3,2011 Misc by Ubisoft rank 61
61,62,Call of Duty: Ghosts,2013 Shooter by Activision rank 62
62,63,Halo: Reach,2010 Shooter by Microsoft Game Studios rank 63
63,64,Mario Kart 64,1996 Racing by Nintendo rank 64
64,65,New Super Mario Bros. 2,2012 Platform by Nintendo rank 65
65,66,Halo 4,2012 Shooter by Microsoft Game Studios rank 66
66,67,Final Fantasy VII,1997 Role-Playing by Sony Computer Entertainment rank 67
67,68,Call of Duty: Ghosts,2013 Shooter by Activision rank 68
68,69,Just Dance 2,2010 Misc by Ubisoft rank 69
69,70,Gran Turismo 2,1999 Racing by Sony Computer Entertainment rank 70
70,71,Call of Duty 4: Modern Warfare,2007 Shooter by Activision rank 71
