,Rank,Name,Overview,game-id
0,1,Wii Sports,Wii Sports 2006 Sports by Nintendo rank 1,wiisports
1,2,Super Mario Bros.,Super Mario Bros. 1985 Platform by Nintendo rank 2,supermariobros.
2,3,Mario Kart Wii,Mario Kart Wii 2008 Racing by Nintendo rank 3,mariokartwii
3,4,Wii Sports Resort,Wii Sports Resort 2009 Sports by Nintendo rank 4,wiisportsresort
4,5,Pokemon Red/Pokemon Blue,Pokemon Red/Pokemon Blue 1996 Role-Playing by Nintendo rank 5,pokemonred/pokemonblue
5,6,Tetris,Tetris 1989 Puzzle by Nintendo rank 6,tetris
6,7,New Super Mario Bros.,New Super Mario Bros. 2006 Platform by Nintendo rank 7,newsupermariobros.
7,8,Wii Play,Wii Play 2006 Misc by Nintendo rank 8,wiiplay
8,9,New Super Mario Bros. Wii,New Super Mario Bros. Wii 2009 Platform by Nintendo rank 9,newsupermariobros.wii
9,10,Duck Hunt,Duck Hunt 1984 Shooter by Nintendo rank 10,duckhunt
10,11,Nintendogs,Nintendogs 2005 Simulation by Nintendo rank 11,nintendogs
11,12,Mario Kart DS,Mario Kart DS 2005 Racing by Nintendo rank 12,mariokartds
12,13,Pokemon Gold/Pokemon Silver,Pokemon Gold/Pokemon Silver 1999 Role-Playing by Nintendo rank 13,pokemongold/pokemonsilver
13,14,Wii Fit,Wii Fit 2007 Sports by Nintendo rank 14,wiifit
14,15,Wii Fit Plus,Wii Fit Plus 2009 Sports by Nintendo rank 15,wiifitplus
15,16,Kinect Adventures!,Kinect Adventures! 2010 Misc by Microsoft Game Studios rank 16,kinectadventures!
16,17,Grand Theft Auto V,Grand Theft Auto V 2013 Action by Take-Two Interactive rank 17,grandtheftautov
17,18,Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas 2004 Action by Take-Two Interactive rank 18,grandtheftauto:sanandreas
18,19,Super Mario World,Super Mario World 1990 Platform by Nintendo rank 19,supermarioworld
19,20,Brain Age: Train Your Brain in Minutes a Day,Brain Age: Train Your Brain in Minutes a Day 2005 Misc by Nintendo rank 20,brainage:trainyourbraininminutesaday
20,21,Pokemon Diamond/Pokemon Pearl,Pokemon Diamond/Pokemon Pearl 2006 Role-Playing by Nintendo rank 21,pokemondiamond/pokemonpearl
21,22,Super Mario Land,Super Mario Land 1989 Platform by Nintendo rank 22,supermarioland
22,23,Super Mario Bros. 3,Super Mario Bros. 3 1988 Platform by Nintendo rank 23,supermariobros.3
23,24,Grand Theft Auto V,Grand Theft Auto V 2013 Action by Take-Two Interactive rank 24,grandtheftautov
24,25,Grand Theft Auto: Vice City,Grand Theft Auto: Vice City 2002 Action by Take-Two Interactive rank 25,grandtheftauto:vicecity
25,26,Pokemon Ruby/Pokemon Sapphire,Pokemon Ruby/Pokemon Sapphire 2002 Role-Playing by Nintendo rank 26,pokemonruby/pokemonsapphire
26,27,Pokemon Black/Pokemon White,Pokemon Black/Pokemon White 2010 Role-Playing by Nintendo rank 27,pokemonblack/pokemonwhite
27,28,Brain Age 2: More Training in Minutes a Day,Brain Age 2: More Training in Minutes a Day 2005 Puzzle by Nintendo rank 28,brainage2:moretraininginminutesaday
28,29,Gran Turismo 3: A-Spec,Gran Turismo 3: A-Spec 2001 Racing by Sony Computer Entertainment rank 29,granturismo3:a-spec
29,30,Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare 3 2011 Shooter by Activision rank 30,callofduty:modernwarfare3
30,31,Pokémon Yellow: Special Pikachu Edition,Pokémon Yellow: Special Pikachu Edition 1998 Role-Playing by Nintendo rank 31,pokémonyellow:specialpikachuedition
31,32,Call of Duty: Black Ops,Call of Duty: Black Ops 2010 Shooter by Activision rank 32,callofduty:blackops
32,33,Pokemon X/Pokemon Y,Pokemon X/Pokemon Y 2013 Role-Playing by Nintendo rank 33,pokemonx/pokemony
33,34,Call of Duty: Black Ops 3,Call of Duty: Black Ops 3 2015 Shooter by Activision rank 34,callofduty:blackops3
34,35,Call of Duty: Black Ops II,Call of Duty: Black Ops II 2012 Shooter by Activision rank 35,callofduty:blackopsii
35,36,Call of Duty: Black Ops II,Call of Duty: Black Ops II 2012 Shooter by Activision rank 36,callofduty:blackopsii
36,37,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2 2009 Shooter by Activision rank 37,callofduty:modernwarfare2
37,38,Call of Duty: Modern Warfare 3,Call of Duty: Modern Warfare 3 2011 Shooter by Activision rank 38,callofduty:modernwarfare3
38,39,Grand Theft Auto III,Grand Theft Auto III 2001 Action by Take-Two Interactive rank 39,grandtheftautoiii
39,40,Super Smash Bros. Brawl,Super Smash Bros. Brawl 2008 Fighting by Nintendo rank 40,supersmashbros.brawl
40,41,Call of Duty: Black Ops,Call of Duty: Black Ops 2010 Shooter by Activision rank 41,callofduty:blackops
41,42,Animal Crossing: Wild World,Animal Crossing: Wild World 2005 Simulation by Nintendo rank 42,animalcrossing:wildworld
42,43,Mario Kart 7,Mario Kart 7 2011 Racing by Nintendo rank 43,mariokart7
43,44,Halo 3,Halo 3 2007 Shooter by Microsoft Game Studios rank 44,halo3
44,45,Grand Theft Auto V,Grand Theft Auto V 2014 Action by Take-Two Interactive rank 45,grandtheftautov
45,46,Pokemon HeartGold/Pokemon SoulSilver,Pokemon HeartGold/Pokemon SoulSilver 2009 Action by Nintendo rank 46,pokemonheartgold/pokemonsoulsilver
46,47,Super Mario 64,Super Mario 64 1996 Platform by Nintendo rank 47,supermario64
47,48,Gran Turismo 4,Gran Turismo 4 2004 Racing by Sony Computer Entertainment rank 48,granturismo4
48,49,Super Mario Galaxy,Super Mario Galaxy 2007 Platform by Nintendo rank 49,supermariogalaxy
49,50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Pokemon Omega Ruby/Pokemon Alpha Sapphire 2014 Role-Playing by Nintendo rank 50,pokemonomegaruby/pokemonalphasapphire
50,51,Super Mario Land 2: 6 Golden Coins,Super Mario Land 2: 6 Golden Coins 1992 Adventure by Nintendo rank 51,supermarioland2:6goldencoins
51,52,Grand Theft Auto IV,Grand Theft Auto IV 2008 Action by Take-Two Interactive rank 52,grandtheftautoiv
52,53,Gran Turismo,Gran Turismo 1997 Racing by Sony Computer Entertainment rank 53,granturismo
53,54,Super Mario 3D Land,Super Mario 3D Land 2011 Platform by Nintendo rank 54,supermario3dland
54,55,Gran Turismo 5,Gran Turismo 5 2010 Racing by Sony Computer Entertainment rank 55,granturismo5
55,56,Call of Duty: Modern Warfare 2,Call of Duty: Modern Warfare 2 2009 Shooter by Activision rank 56,callofduty:modernwarfare2
56,57,Grand Theft Auto IV,Grand Theft Auto IV 2008 Action by Take-Two Interactive rank 57,grandtheftautoiv
57,58,Super Mario All-Stars,Super Mario All-Stars 1993 Platform by Nintendo rank 58,supermarioall-stars
58,59,Pokemon FireRed/Pokemon LeafGreen,Pokemon FireRed/Pokemon LeafGreen 2004 Role-Playing by Nintendo rank 59,pokemonfirered/pokemonleafgreen
59,60,Super Mario 64,Super Mario 64 2004 Platform by Nintendo rank 60,supermario64
60,61,Just Dance 3,Just Dance 3 2011 Misc by Ubisoft rank 61,justdance3
61,62,Call of Duty: Ghosts,Call of Duty: Ghosts 2013 Shooter by Activision rank 62,callofduty:ghosts
62,63,Halo: Reach,Halo: Reach 2010 Shooter by Microsoft Game Studios rank 63,halo:reach
63,64,Mario Kart 64,Mario Kart 64 1996 Racing by Nintendo rank 64,mariokart64
64,65,New Super Mario Bros. 2,New Super Mario Bros. 2 2012 Platform by Nintendo rank 65,newsupermariobros.2
65,66,Halo 4,Halo 4 2012 Shooter by Microsoft Game Studios rank 66,halo4
66,67,Final Fantasy VII,Final Fantasy VII 1997 Role-Playing by Sony Computer Entertainment rank 67,finalfantasyvii
67,68,Call of Duty: Ghosts,Call of Duty: Ghosts 2013 Shooter by Activision rank 68,callofduty:ghosts
68,69,Just Dance 2,Just Dance 2 2010 Misc by Ubisoft rank 69,justdance2
69,70,Gran Turismo 2,Gran Turismo 2 1999 Racing by Sony Computer Entertainment rank 70,granturismo2
70,71,Call of Duty 4: Modern Warfare,Call of Duty 4: Modern Warfare 2007 Shooter by Activision rank 71,callofduty4:modernwarfare
71,72,Donkey Kong Country,Donkey Kong Country 1994 Platform by Nintendo rank 72,donkeykongcountry
72,73,Minecraft,Minecraft 2013 Misc by Microsoft Game Studios rank 73,minecraft
73,74,Animal Crossing: New Leaf,Animal Crossing: New Leaf 2012 Simulation by Nintendo rank 74,animalcrossing:newleaf
74,75,Mario Party DS,Mario Party DS 2007 Misc by Nintendo rank 75,mariopartyds
75,76,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim 2011 Role-Playing by Bethesda Softworks rank 76,theelderscrollsv:skyrim
76,77,Super Mario Kart,Super Mario Kart 1992 Racing by Nintendo rank 77,supermariokart
77,78,FIFA 16,FIFA 16 2015 Sports by Electronic Arts rank 78,fifa16
78,79,Wii Party,Wii Party 2010 Misc by Nintendo rank 79,wiiparty
79,80,Halo 2,Halo 2 2004 Shooter by Microsoft Game Studios rank 80,halo2
80,81,Mario Party 8,Mario Party 8 2007 Misc by Nintendo rank 81,marioparty8
81,82,Pokemon Black 2/Pokemon White 2,Pokemon Black 2/Pokemon White 2 2012 Role-Playing by Nintendo rank 82,pokemonblack2/pokemonwhite2
82,83,FIFA Soccer 13,FIFA Soccer 13 2012 Action by Electronic Arts rank 83,fifasoccer13
83,84,The Sims 3,The Sims 3 2009 Simulation by Electronic Arts rank 84,thesims3
84,85,GoldenEye 007,GoldenEye 007 1997 Shooter by Nintendo rank 85,goldeneye007
85,86,Mario & Sonic at the Olympic Games,Mario & Sonic at the Olympic Games 2007 Sports by Sega rank 86,mario&sonicattheolympicgames
86,87,Final Fantasy X,Final Fantasy X 2001 Role-Playing by Sony Computer Entertainment rank 87,finalfantasyx
87,88,Final Fantasy VIII,Final Fantasy VIII 1999 Role-Playing by SquareSoft rank 88,finalfantasyviii
88,89,Pokémon Platinum Version,Pokémon Platinum Version 2008 Role-Playing by Nintendo rank 89,pokémonplatinumversion
89,90,Pac-Man,Pac-Man 1982 Puzzle by Atari rank 90,pac-man
90,91,Grand Theft Auto: Liberty City Stories,Grand Theft Auto: Liberty City Stories 2005 Action by Take-Two Interactive rank 91,grandtheftauto:libertycitystories
91,92,Super Mario Galaxy 2,Super Mario Galaxy 2 2010 Platform by Nintendo rank 92,supermariogalaxy2
92,93,Star Wars Battlefront (2015),Star Wars Battlefront (2015) 2015 Shooter by Electronic Arts rank 93,starwarsbattlefront(2015)
93,94,Call of Duty: Advanced Warfare,Call of Duty: Advanced Warfare 2014 Shooter by Activision rank 94,callofduty:advancedwarfare
94,95,The Legend of Zelda: Ocarina of Time,The Legend of Zelda: Ocarina of Time 1998 Action by Nintendo rank 95,thelegendofzelda:ocarinaoftime
95,96,Crash Bandicoot 2: Cortex Strikes Back,Crash Bandicoot 2: Cortex Strikes Back 1997 Platform by Sony Computer Entertainment rank 96,crashbandicoot2:cortexstrikesback
96,97,Super Mario Bros. 2,Super Mario Bros. 2 1988 Platform by Nintendo rank 97,supermariobros.2
97,98,Super Smash Bros. for Wii U and 3DS,Super Smash Bros. for Wii U and 3DS 2014 Fighting by Nintendo rank 98,supersmashbros.forwiiuand3ds
98,99,Call of Duty: World at War,Call of Duty: World at War 2008 Shooter by Activision rank 99,callofduty:worldatwar
99,100,Battlefield 3,Battlefield 3 2011 Shooter by Electronic Arts rank 100,battlefield3
100,101,The Legend of Zelda: Twilight Princess,The Legend of Zelda: Twilight Princess 2006 Action by Nintendo rank 101,thelegendofzelda:twilightprincess
101,102,Call of Duty: Black Ops 3,Call of Duty: Black Ops 3 2015 Shooter by Activision rank 102,callofduty:blackops3
102,103,Just Dance,Just Dance 2009 Misc by Ubisoft rank 103,justdance
103,104,Battlefield 3,Battlefield 3 2011 Shooter by Electronic Arts rank 104,battlefield3
104,105,Need for Speed Underground,Need for Speed Underground 2003 Racing by Electronic Arts rank 105,needforspeedunderground
105,106,Tekken 3,Tekken 3 1998 Fighting by Sony Computer Entertainment rank 106,tekken3
106,107,Crash Bandicoot 3: Warped,Crash Bandicoot 3: Warped 1998 Platform by Sony Computer Entertainment rank 107,crashbandicoot3:warped
107,108,Super Smash Bros. Melee,Super Smash Bros. Melee 2001 Fighting by Nintendo rank 108,supersmashbros.melee
108,109,Mario Kart 8,Mario Kart 8 2014 Racing by Nintendo rank 109,mariokart8
109,110,Fallout 4,Fallout 4 2015 Role-Playing by Bethesda Softworks rank 110,fallout4
110,111,Mario Kart: Double Dash!!,Mario Kart: Double Dash!! 2003 Racing by Nintendo rank 111,mariokart:doubledash!!
111,112,Just Dance 4,Just Dance 4 2012 Misc by Ubisoft rank 112,justdance4
112,113,FIFA 14,FIFA 14 2013 Sports by Electronic Arts rank 113,fifa14
113,114,Need for Speed Underground 2,Need for Speed Underground 2 2004 Racing by Electronic Arts rank 114,needforspeedunderground2
114,115,Medal of Honor: Frontline,Medal of Honor: Frontline 2002 Shooter by Electronic Arts rank 115,medalofhonor:frontline
115,116,Uncharted 3: Drake's Deception,Uncharted 3: Drake's Deception 2011 Action by Sony Computer Entertainment rank 116,uncharted3:drake'sdeception
116,117,Crash Bandicoot,Crash Bandicoot 1996 Platform by Sony Computer Entertainment rank 117,crashbandicoot
117,118,Zumba Fitness,Zumba Fitness 2010 Sports by 505 Games rank 118,zumbafitness
118,119,Gears of War 2,Gears of War 2 2008 Shooter by Microsoft Game Studios rank 119,gearsofwar2
119,120,Uncharted 2: Among Thieves,Uncharted 2: Among Thieves 2009 Action by Sony Computer Entertainment rank 120,uncharted2:amongthieves
120,121,Call of Duty 4: Modern Warfare,Call of Duty 4: Modern Warfare 2007 Shooter by Activision rank 121,callofduty4:modernwarfare
121,122,FIFA 12,FIFA 12 2011 Sports by Electronic Arts rank 122,fifa12
122,123,Big Brain Academy,Big Brain Academy 2005 Misc by Nintendo rank 123,bigbrainacademy
123,124,Red Dead Redemption,Red Dead Redemption 2010 Action by Take-Two Interactive rank 124,reddeadredemption
124,125,FIFA 15,FIFA 15 2014 Sports by Electronic Arts rank 125,fifa15
125,126,Donkey Kong Country Returns,Donkey Kong Country Returns 2010 Platform by Nintendo rank 126,donkeykongcountryreturns
126,127,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim 2011 Role-Playing by Bethesda Softworks rank 127,theelderscrollsv:skyrim
127,128,The Legend of Zelda,The Legend of Zelda 1986 Action by Nintendo rank 128,thelegendofzelda
128,129,Assassin's Creed III,Assassin's Creed III 2012 Action by Ubisoft rank 129,assassin'screediii
129,130,Halo: Combat Evolved,Halo: Combat Evolved 2001 Shooter by Microsoft Game Studios rank 130,halo:combatevolved
130,131,Pokémon Emerald Version,Pokémon Emerald Version 2004 Role-Playing by Nintendo rank 131,pokémonemeraldversion
131,132,Kingdom Hearts,Kingdom Hearts 2002 Role-Playing by Sony Computer Entertainment rank 132,kingdomhearts
132,133,Pokémon Crystal Version,Pokémon Crystal Version 2000 Role-Playing by Nintendo rank 133,pokémoncrystalversion
133,134,Halo 3: ODST,Halo 3: ODST 2009 Shooter by Microsoft Game Studios rank 134,halo3:odst
134,135,Red Dead Redemption,Red Dead Redemption 2010 Action by Take-Two Interactive rank 135,reddeadredemption
135,136,Super Mario Sunshine,Super Mario Sunshine 2002 Platform by Nintendo rank 136,supermariosunshine
136,137,Street Fighter II: The World Warrior,Street Fighter II: The World Warrior 1992 Fighting by Capcom rank 137,streetfighterii:theworldwarrior
137,138,World of Warcraft,World of Warcraft 2004 Role-Playing by Activision rank 138,worldofwarcraft
138,139,Driver,Driver 1999 Action by GT Interactive rank 139,driver
139,140,Kinect Sports,Kinect Sports 2010 Sports by Microsoft Game Studios rank 140,kinectsports
140,141,Gears of War 3,Gears of War 3 2011 Shooter by Microsoft Game Studios rank 141,gearsofwar3
141,142,Gears of War,Gears of War 2006 Shooter by Microsoft Game Studios rank 142,gearsofwar
142,143,Metal Gear Solid 2: Sons of Liberty,Metal Gear Solid 2: Sons of Liberty 2001 Action by Konami Digital Entertainment rank 143,metalgearsolid2:sonsofliberty
143,144,Sonic the Hedgehog 2,Sonic the Hedgehog 2 1992 Platform by Sega rank 144,sonicthehedgehog2
144,145,Metal Gear Solid 4: Guns of the Patriots,Metal Gear Solid 4: Guns of the Patriots 2008 Action by Konami Digital Entertainment rank 145,metalgearsolid4:gunsofthepatriots
