,Name
0,Rockstar Games Double Pack: Grand Theft Auto III & Grand Theft Auto Vice City
1,Grand Theft Auto: Vice City
2,Grand Theft Auto: Vice City Stories
3,Grand Theft Auto V
4,Grand Theft Auto III
5,Grand Theft Auto
6,The Elder Scrolls V: Skyrim
7,The Elder Scrolls Online
8,The Elder Scrolls IV: Oblivion
9,The Elder Scrolls III: Morrowind
10,Brink
11,Metal Gear Solid: The Essential Collection
12,Metal Gear Solid
13,Metal Gear Solid: The Essential Collection (JP sales)
14,Metal Gear Solid Integral
15,Metal Gear Solid: Portable Ops
16,Metal Gear Solid HD Edition
17,Metal Gear Solid 3: Subsistence
18,Animal Crossing
19,Animal Crossing: Wild World
20,Animal Crossing: Happy Home Designer
21,Animal Crossing: City Folk
22,Animal Crossing: New Leaf
23,Miracle Girls Festival
24,Shepherd's Crossing
25,Animal Genius
26,Imagine: Animal Doctor
27,Animal Paradise
28,Spore
29,Spore Hero
30,Spore Hero Arena
31,Spore Galactic Adventures
32,Deadly Creatures
33,Nightmare Creatures
34,Mushroom Men: The Spore Wars
35,Nightmare Creatures II
36,Impossible Creatures
